,Customer ID,Referred a Friend,Tenure_in_months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,City,Churn Value,CLTV,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction (based  on service calls),Service issue topic,Average Speed of answer in seconds,Acquisition_id,Acquisition Cost,Retenion_cost_per_customer,Number of Referrals,Total Revenue,Satisfaction Score,Senior Citizen,Married,Dependents
0,8779-QRDMV,No,1,,No,0.0,No,Yes,Fiber Optic,9,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,41.236,39.65,0.0,0.0,0.0,Male,78,Los Angeles,1,5433,5,0,2.0,Contract related,109.0,3,20,3.7,0,59.65,3,Yes,No,No
1,3445-HXXGF,Yes,58,Offer B,No,0.0,No,Yes,Cable,26,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,47.112,2651.2,40.95,689.0,0.0,Male,66,Sierra Madre,1,5444,2,1,1.0,Payment related,22.0,3,20,6.3,6,2610.25,1,Yes,Yes,No
2,9947-OTFQU,No,15,Offer D,Yes,29.11,No,Yes,DSL,32,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.376,1074.3,0.0,344.0,436.65,Male,65,Covina,1,4616,0,0,1.333333333333333,Payment related,50.0,3,20,4.3,0,1510.9499999999998,1,Yes,No,No
3,9514-JDSKI,Yes,1,Offer E,No,0.0,No,Yes,Cable,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,41.808,40.2,0.0,0.0,0.0,Male,77,El Monte,1,5828,2,0,1.666666666666667,Payment related,84.0,3,20,3.7,1,40.2,2,Yes,Yes,No
4,3606-TWKGI,No,13,Offer D,Yes,32.68,Yes,Yes,Cable,12,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,111.176,1364.3,0.0,164.0,424.84,Male,68,Rowland Heights,1,2494,1,2,1.0,Admin Support,48.0,3,20,4.3,0,1799.1399999999999,1,Yes,No,No
5,4385-GZQXV,No,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,10,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.228,1511.2,0.0,151.0,150.88,Female,68,Ontario,1,3810,0,0,1.5,Admin Support,63.0,3,20,4.3,0,1662.08,1,Yes,No,No
6,3488-PGMQJ,No,8,,Yes,1.78,No,Yes,Cable,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.48,606.55,0.0,0.0,14.24,Male,66,Alpine,1,4345,5,2,2.0,Technical Support,45.0,3,20,3.7,0,620.79,2,Yes,No,No
7,7534-BFESC,No,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,16,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.144,1712.7,0.0,0.0,740.88,Male,69,San Diego,1,2018,0,0,2.5,Admin Support,63.66666666666667,3,20,5.0,0,2453.58,2,Yes,No,No
8,5804-LEPIM,No,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,11,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.164,139.05,0.0,15.0,26.34,Female,74,San Diego,1,2671,4,0,3.0,Technical Support,78.5,3,20,3.7,0,165.39000000000001,3,Yes,No,No
9,0623-IIHUG,No,21,,No,0.0,No,Yes,DSL,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.576,840.1,0.0,0.0,0.0,Female,77,San Diego,1,4778,2,0,2.6,Technical Support,68.0,3,20,5.0,0,840.1,1,Yes,No,No
10,9057-MSWCO,No,27,,No,0.0,No,Yes,DSL,14,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,31.98,805.1,0.0,113.0,0.0,Male,71,San Diego,1,2927,2,0,2.2,Streaming,97.0,3,20,5.0,0,945.1,1,Yes,Yes,No
11,4895-TMWIR,Yes,11,,Yes,29.54,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0.0,324.94,Male,79,San Diego,1,5888,2,0,1.8,Payment related,68.0,3,20,4.3,1,539.69,1,Yes,Yes,No
12,0334-GDDSO,No,3,Offer E,Yes,9.22,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.604,233.7,0.0,3.51,27.66,Male,77,San Diego,1,2818,1,3,1.0,Contract related,51.0,3,20,3.7,0,261.36,1,Yes,No,No
