Customer ID,Referred a Friend,Tenure_in_months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,City,Zip Code,Churn Value,CLTV,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction (based  on service calls),Service issue topic,Average Speed of answer in seconds,Acquisition_id,Acquisition Cost,Retenion_cost_per_customer
8779-QRDMV,No,1,,No,0,No,Yes,Fiber Optic,9,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,41.236,39.65,0,0,0,Male,78,Los Angeles,90022,1,5433,5,0,2,Contract related,109,3,20,3.7
3445-HXXGF,Yes,58,Offer B,No,0,No,Yes,Cable,26,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,47.112,2651.2,40.95,689,0,Male,66,Sierra Madre,91024,1,5444,2,1,1,Payment related,22,3,20,6.3
9947-OTFQU,No,15,Offer D,Yes,29.11,No,Yes,DSL,32,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.376,1074.3,0,344,436.65,Male,65,Covina,91722,1,4616,0,0,1.333333333,Payment related,50,3,20,4.3
9514-JDSKI,Yes,1,Offer E,No,0,No,Yes,Cable,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,41.808,40.2,0,0,0,Male,77,El Monte,91732,1,5828,2,0,1.666666667,Payment related,84,3,20,3.7
3606-TWKGI,No,13,Offer D,Yes,32.68,Yes,Yes,Cable,12,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,111.176,1364.3,0,164,424.84,Male,68,Rowland Heights,91748,1,2494,1,2,1,Admin Support,48,3,20,4.3
4385-GZQXV,No,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,10,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.228,1511.2,0,151,150.88,Female,68,Ontario,91764,1,3810,0,0,1.5,Admin Support,63,3,20,4.3
3488-PGMQJ,No,8,,Yes,1.78,No,Yes,Cable,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.48,606.55,0,0,14.24,Male,66,Alpine,91901,1,4345,5,2,2,Technical Support,45,3,20,3.7
7534-BFESC,No,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,16,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.144,1712.7,0,0,740.88,Male,69,San Diego,92122,1,2018,0,0,2.5,Admin Support,63.66666667,3,20,5
5804-LEPIM,No,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,11,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.164,139.05,0,15,26.34,Female,74,San Diego,92122,1,2671,4,0,3,Technical Support,78.5,3,20,3.7
0623-IIHUG,No,21,,No,0,No,Yes,DSL,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.576,840.1,0,0,0,Female,77,San Diego,92122,1,4778,2,0,2.6,Technical Support,68,3,20,5
9057-MSWCO,No,27,,No,0,No,Yes,DSL,14,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,31.98,805.1,0,113,0,Male,71,San Diego,92122,1,2927,2,0,2.2,Streaming,97,3,20,5
4895-TMWIR,Yes,11,,Yes,29.54,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0,0,324.94,Male,79,San Diego,92122,1,5888,2,0,1.8,Payment related,68,3,20,4.3
0334-GDDSO,No,3,Offer E,Yes,9.22,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.604,233.7,0,3.51,27.66,Male,77,San Diego,92122,1,2818,1,3,1,Contract related,51,3,20,3.7
5564-NEMQO,No,1,Offer E,Yes,35.09,No,Yes,Cable,19,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.312,75.3,0,0,35.09,Female,80,Thermal,92274,1,4902,7,1,2,Technical Support,106,3,20,3.7
6235-VDHOM,No,5,Offer E,No,0,No,Yes,Cable,29,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,29.588,131.05,0,38,0,Female,77,Riverside,92509,1,4099,4,0,2,Streaming,107,3,20,3.7
0257-ZESQC,Yes,27,,Yes,7.02,No,Yes,DSL,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.208,1929.35,0,0,189.54,Female,80,Perris,92571,1,4517,1,0,1,Technical Support,57,3,20,5
3419-SNJJD,Yes,65,Offer B,Yes,18.39,Yes,Yes,Cable,31,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,109.46,6786.4,0,0,1195.35,Female,78,Yorba Linda,92887,1,4196,5,0,1.5,Streaming,69.5,3,20,7
5099-BAILX,Yes,43,Offer B,Yes,14.52,Yes,Yes,DSL,6,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,115.18,4687.9,0,0,624.36,Male,77,Santa Barbara,93101,1,2728,1,1,2,Technical Support,52,3,20,5.9
1626-ERCMM,Yes,20,,Yes,5.31,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.332,1899.65,0,209,106.2,Male,75,Camp Nelson,93208,1,5604,2,3,2,Technical Support,49,3,20,4.3
5644-PDMZC,No,2,,Yes,47.47,Yes,Yes,DSL,21,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,93.08,161.5,0,34,94.94,Female,69,Delano,93215,1,2065,5,0,2,Technical Support,27,3,20,3.7
0823-HSCDJ,No,52,,No,0,No,Yes,Cable,20,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,51.116,2550.9,0,0,0,Male,76,Temecula,92592,1,5597,1,1,2,Technical Support,45,3,20,6.3
0067-DKWBL,No,2,,Yes,43.99,No,Yes,Fiber Optic,30,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,51.22,91.1,0,27,87.98,Male,69,San Diego,92129,1,3475,5,0,2,Payment related,98,3,20,3.7
6683-VLCTZ,No,20,,Yes,44.44,Yes,Yes,Cable,14,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,102.492,1842.8,0,258,888.8,Male,73,San Diego,92129,1,5444,5,0,1.666666667,Admin Support,107,3,20,4.3
9231-ZJYAM,No,4,,Yes,36.93,No,Yes,Cable,20,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.004,292.8,0,59,147.72,Female,65,Squaw Valley,93675,1,5301,3,2,1.333333333,Technical Support,81.25,3,20,3.7
0781-LKXBR,No,9,,Yes,48.71,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.52,918.6,0,147,438.39,Male,65,San Francisco,94102,1,4038,4,1,1,Payment related,13,3,20,3.7
1907-UBQFC,No,10,,Yes,5.46,No,Yes,DSL,26,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.764,688.65,0,179,54.6,Male,69,San Francisco,94108,1,3189,5,4,1.5,Payment related,119,3,20,3.7
7074-IEVOJ,No,3,,Yes,41.9,Yes,Yes,Cable,12,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.576,205.05,0,25,125.7,Female,75,San Francisco,94130,1,3501,5,1,1.5,Streaming,83,3,20,3.7
7028-DVOIQ,No,35,,Yes,20.83,Yes,Yes,Cable,21,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.012,3395.8,0,0,729.05,Male,71,Birds Landing,94512,1,2074,5,1,1,Admin Support,45,3,20,5.4
9369-XFEHK,Yes,33,,Yes,33.19,Yes,Yes,DSL,16,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.824,2656.5,0,0,1095.27,Female,76,Pleasanton,94566,1,3601,2,0,2,Streaming,96,3,20,5.4
8111-SLLHI,Yes,39,,Yes,33.25,Yes,Yes,DSL,29,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,109.876,4284.8,0,1243,1296.75,Male,65,San Jose,95128,1,4687,4,0,1,Contract related,122,3,20,5.4
4086-YQSNZ,Yes,3,Offer E,Yes,3.29,No,Yes,Cable,10,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.616,224.05,0,0,9.87,Female,74,Glencoe,95232,1,3834,0,0,1,Admin Support,79,3,20,3.7
8399-YNDCH,No,21,,Yes,34.62,No,Yes,Cable,15,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,62.452,1236.15,0,185,727.02,Male,80,Columbia,95310,1,4716,1,1,1,Technical Support,33,3,20,5
4187-CINZD,No,46,,Yes,6.13,No,Yes,Cable,33,No,Yes,No,No,Yes,Yes,No,No,One Year,No,Credit Card,99.06,4424.2,0,1460,281.98,Female,73,Lakewood,90712,1,3180,1,1,2,Contract related,58,3,20,5.9
9134-CEQMF,Yes,7,Offer E,Yes,13.63,No,Yes,Fiber Optic,30,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,93.08,676.7,0,203,95.41,Male,75,Nice,95464,1,3077,2,2,2,Admin Support,118,3,20,3.7
8519-IMDHU,Yes,15,,Yes,45.25,Yes,Yes,DSL,24,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,89.024,1345.55,0,323,678.75,Male,74,Alderpoint,95511,1,4981,3,5,2.5,Payment related,52,3,20,4.3
7206-GZCDC,No,1,Offer E,Yes,29.68,No,Yes,Cable,20,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.02,69.25,0,0,29.68,Female,75,Loleta,95551,1,4371,3,1,2,Contract related,68,3,20,3.7
5419-CONWX,No,4,,Yes,12.68,No,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,103.792,442.85,0,49,50.72,Female,65,Pleasant Grove,95668,1,2268,4,1,1,Technical Support,119,3,20,3.7
0506-LVNGN,No,5,,Yes,42.33,No,Yes,Cable,10,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,78.572,349.65,0,35,211.65,Female,78,Rancho Cordova,95742,1,4028,5,4,1,Technical Support,101,3,20,3.7
4690-LLKUA,No,17,,Yes,40.93,No,Yes,Fiber Optic,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,46.852,770.6,0,0,695.81,Male,68,San Diego,92130,1,3797,0,0,1,Payment related,65,3,20,4.3
7279-BUYWN,No,41,,Yes,27.95,Yes,Yes,Cable,25,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,117.728,4689.5,0,1172,1145.95,Female,66,Buena Park,90620,1,3380,2,0,1,Technical Support,53,3,20,5.9
9606-PBKBQ,Yes,32,,Yes,5.99,Yes,Yes,DSL,25,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.4,2642.05,49.57,661,191.68,Male,69,Long Beach,90813,1,4584,3,2,1.333333333,Streaming,73,3,20,5.4
6689-TCZHQ,No,5,Offer E,Yes,12.27,No,Yes,Fiber Optic,22,No,No,No,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,82.108,378.4,0,83,61.35,Female,70,Claremont,91711,1,4054,5,0,1,Contract related,69,3,20,3.7
